OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
"141",Portugal,"1622755433000",39.3999,-8.2245,"851031","17029","810659","23343"
"142",Qatar,"1622755433000",25.3548,51.1839,"218080","563","214377","3140"
"143",Romania,"1622755433000",45.9432,24.9668,"1078338","30499","1041256","6583"
"144",Russia,"1622755433000",61.524,105.3188,"5040390","120604","4657460","262326"
"145",Rwanda,"1622755433000",-1.9403,29.8739,"27064","358","25948","758"
"146",Saint Kitts and Nevis,"1622755433000",17.357822,-62.782998,"74","0","48","26"
"147",Saint Lucia,"1622755433000",13.9094,-60.9789,"5072","80","4861","131"
"148",Saint Vincent and the Grenadines,"1622755433000",12.9843,-61.2872,"2044","12","1832","200"
"149",Samoa,"1622755433000",-13.759,-172.1046,"3","0","3","0"
"150",San Marino,"1622755433000",43.9424,12.4578,"5090","90","4998","2"
"151",Sao Tome and Principe,"1622755433000",0.1864,6.6131,"2347","41","2291","15"
"152",Saudi Arabia,"1622755433000",23.885942,45.079162,"454217","7408","436884","9925"
"153",Senegal,"1622755433000",14.4974,-14.4524,"41539","1144","40165","230"
"154",Serbia,"1622755433000",44.0165,21.0059,"713207","6890",,"706317"
"155",Seychelles,"1622755433000",-4.6796,55.492,"11621","42","10499","1080"
"156",Sierra Leone,"1622755433000",8.460555,-11.779889,"4156","79","3141","936"
"157",Singapore,"1622755433000",1.2833,103.8333,"62145","33","61557","555"
"158",Slovakia,"1622755433000",48.669,19.699,"390129","12375","255300","122454"
"159",Slovenia,"1622755433000",46.1512,14.9955,"254692","4383","246433","3876"
"160",Solomon Islands,"1622755433000",-9.6457,160.1562,"20","0","20","0"
"161",Somalia,"1622755433000",5.152149,46.199616,"14691","770","6846","7075"
"162",South Africa,"1622755433000",-30.5595,22.9375,"1669231","56601","1563719","48911"
"163",South Sudan,"1622755433000",6.877,31.307,"10688","115","10514","59"
"164",Spain,"1622755433000",40.463667,-3.74922,"3687762","80049","150376","3542636"
"165",Sri Lanka,"1622755433000",7.873054,80.771797,"195844","1608","162397","31839"
"166",Sudan,"1622755433000",12.8628,30.2176,"35656","2662","29364","3630"
"167",Suriname,"1622755433000",3.9193,-56.0278,"15428","316","12005","3107"
"168",Sweden,"1622755433000",60.1282,18.6435,"1076993","14512",,"1062481"
"169",Switzerland,"1622755433000",46.8182,8.2275,"696801","10828","317600","368373"
"170",Syria,"1622755433000",34.802075,38.996815,"24559","1778","21614","1167"
"171",Taiwan*,"1622755433000",23.7,121,"9974","166","1133","8675"
"172",Tajikistan,"1622755433000",38.861,71.2761,"13308","90","13218","0"
"173",Tanzania,"1622755433000",-6.369028,34.888822,"509","21","183","305"
"174",Thailand,"1622755433000",15.870032,100.992541,"169348","1146","26873","141329"
"175",Timor-Leste,"1622755433000",-8.874217,125.727539,"7422","16","4826","2580"
"176",Togo,"1622755433000",8.6195,0.8248,"13496","125","13032","339"
"177",Trinidad and Tobago,"1622755433000",10.6918,-61.2225,"25272","537","14918","9817"
"178",Tunisia,"1622755433000",33.886917,9.537499,"350487","12839","307778","29870"
"179",Turkey,"1622755433000",38.9637,35.2433,"5270299","47882","5139993","82424"
"180",US,"1622755433000",40,-100,"33321184","596332",,
"181",Uganda,"1622755433000",1.373333,32.290275,"49759","365","46150","3244"
"182",Ukraine,"1622755433000",48.3794,31.1656,"2268209","53015","2126613","88581"
"183",United Arab Emirates,"1622755433000",23.424076,53.847818,"576947","1689","556549","18709"
"184",United Kingdom,"1622755433000",55,-3,"4515777","128075","15514","4372188"
"185",Uruguay,"1622755433000",-32.5228,-55.7658,"301524","4394","259959","37171"
"186",Uzbekistan,"1622755433000",41.377491,64.585262,"100997","693","96889","3415"
"187",Vanuatu,"1622755433000",-15.3767,166.9592,"4","1","3","0"
"188",Venezuela,"1622755433000",6.4238,-66.5897,"236755","2674","217798","16283"
"189",Vietnam,"1622755433000",14.058324,108.277199,"8063","49","3085","4929"
"190",West Bank and Gaza,"1622755433000",31.9522,35.2332,"309333","3509","301443","4381"
"191",Yemen,"1622755433000",15.552727,48.516388,"6767","1325","3484","1958"
"192",Zambia,"1622755433000",-13.133897,27.849332,"97388","1288","92320","3780"
"193",Zimbabwe,"1622755433000",-19.015438,29.154857,"39031","1599","36661","771"
